id,media_type,title,date,popularity,vote_average,vote_count,original_language,genres,week,genre
1339713,movie,Obsession,2026-05-13,738.4558,8.234,2042,en,Horror; Thriller,2026-07-05,Horror
1339713,movie,Obsession,2026-05-13,738.4558,8.234,2042,en,Horror; Thriller,2026-07-05,Thriller
1275779,movie,Disclosure Day,2026-06-10,654.323,6.669,798,en,Science Fiction; Thriller,2026-07-05,Science Fiction
1275779,movie,Disclosure Day,2026-06-10,654.323,6.669,798,en,Science Fiction; Thriller,2026-07-05,Thriller
124364,tv,FROM,2022-02-20,632.0936,8.503,3922,en,Mystery; Drama; Sci-Fi & Fantasy,2026-07-05,Mystery
124364,tv,FROM,2022-02-20,632.0936,8.503,3922,en,Mystery; Drama; Sci-Fi & Fantasy,2026-07-05,Drama
124364,tv,FROM,2022-02-20,632.0936,8.503,3922,en,Mystery; Drama; Sci-Fi & Fantasy,2026-07-05,Sci-Fi & Fantasy
1273221,movie,Scary Movie,2026-06-03,562.8499,5.4,418,en,Comedy,2026-07-05,Comedy
1083381,movie,Backrooms,2026-05-27,549.6631,6.835,888,en,Horror; Mystery; Science Fiction,2026-07-05,Horror
1083381,movie,Backrooms,2026-05-27,549.6631,6.835,888,en,Horror; Mystery; Science Fiction,2026-07-05,Mystery
1083381,movie,Backrooms,2026-05-27,549.6631,6.835,888,en,Horror; Mystery; Science Fiction,2026-07-05,Science Fiction
1084244,movie,Toy Story 5,2026-06-17,510.8593,7.409,471,en,Animation; Family; Comedy; Adventure,2026-07-05,Animation
1084244,movie,Toy Story 5,2026-06-17,510.8593,7.409,471,en,Animation; Family; Comedy; Adventure,2026-07-05,Family
1084244,movie,Toy Story 5,2026-06-17,510.8593,7.409,471,en,Animation; Family; Comedy; Adventure,2026-07-05,Comedy
1084244,movie,Toy Story 5,2026-06-17,510.8593,7.409,471,en,Animation; Family; Comedy; Adventure,2026-07-05,Adventure
94997,tv,House of the Dragon,2022-08-21,418.9,8.358,6462,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-07-05,Sci-Fi & Fantasy
94997,tv,House of the Dragon,2022-08-21,418.9,8.358,6462,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-07-05,Drama
94997,tv,House of the Dragon,2022-08-21,418.9,8.358,6462,en,Sci-Fi & Fantasy; Drama; Action & Adventure,2026-07-05,Action & Adventure
1314481,movie,The Devil Wears Prada 2,2026-04-29,353.1912,6.972,1224,en,Comedy; Drama,2026-07-05,Comedy
1314481,movie,The Devil Wears Prada 2,2026-04-29,353.1912,6.972,1224,en,Comedy; Drama,2026-07-05,Drama
1413976,movie,Citizen Vigilante,2026-06-19,266.4206,6.624,182,en,Thriller; Action; Crime,2026-07-05,Thriller
1413976,movie,Citizen Vigilante,2026-06-19,266.4206,6.624,182,en,Thriller; Action; Crime,2026-07-05,Action
1413976,movie,Citizen Vigilante,2026-06-19,266.4206,6.624,182,en,Thriller; Action; Crime,2026-07-05,Crime
299167,tv,Dutton Ranch,2026-05-15,258.8428,9.259,367,en,Western; Drama,2026-07-05,Western
299167,tv,Dutton Ranch,2026-05-15,258.8428,9.259,367,en,Western; Drama,2026-07-05,Drama
82452,tv,Avatar: The Last Airbender,2024-02-22,241.3157,7.809,1199,en,Action & Adventure; Sci-Fi & Fantasy; Drama; Family,2026-07-05,Action & Adventure
82452,tv,Avatar: The Last Airbender,2024-02-22,241.3157,7.809,1199,en,Action & Adventure; Sci-Fi & Fantasy; Drama; Family,2026-07-05,Sci-Fi & Fantasy
82452,tv,Avatar: The Last Airbender,2024-02-22,241.3157,7.809,1199,en,Action & Adventure; Sci-Fi & Fantasy; Drama; Family,2026-07-05,Drama
82452,tv,Avatar: The Last Airbender,2024-02-22,241.3157,7.809,1199,en,Action & Adventure; Sci-Fi & Fantasy; Drama; Family,2026-07-05,Family
79744,tv,The Rookie,2018-10-16,228.8954,8.55,3355,en,Crime; Drama; Comedy,2026-07-05,Crime
79744,tv,The Rookie,2018-10-16,228.8954,8.55,3355,en,Crime; Drama; Comedy,2026-07-05,Drama
79744,tv,The Rookie,2018-10-16,228.8954,8.55,3355,en,Crime; Drama; Comedy,2026-07-05,Comedy
296206,tv,Agent Kim Reactivated,2026-06-26,228.7333,7.8,16,ko,Action & Adventure; Crime; Drama,2026-07-05,Action & Adventure
296206,tv,Agent Kim Reactivated,2026-06-26,228.7333,7.8,16,ko,Action & Adventure; Crime; Drama,2026-07-05,Crime
296206,tv,Agent Kim Reactivated,2026-06-26,228.7333,7.8,16,ko,Action & Adventure; Crime; Drama,2026-07-05,Drama
936075,movie,Michael,2026-04-22,219.5762,8.704,3302,en,Music; Drama,2026-07-05,Music
936075,movie,Michael,2026-04-22,219.5762,8.704,3302,en,Music; Drama,2026-07-05,Drama
94664,tv,Mushoku Tensei: Jobless Reincarnation,2021-01-11,206.845,8.524,1520,ja,Action & Adventure; Animation; Sci-Fi & Fantasy,2026-07-05,Action & Adventure
94664,tv,Mushoku Tensei: Jobless Reincarnation,2021-01-11,206.845,8.524,1520,ja,Action & Adventure; Animation; Sci-Fi & Fantasy,2026-07-05,Animation
94664,tv,Mushoku Tensei: Jobless Reincarnation,2021-01-11,206.845,8.524,1520,ja,Action & Adventure; Animation; Sci-Fi & Fantasy,2026-07-05,Sci-Fi & Fantasy
1434,tv,Family Guy,1999-01-31,205.4813,7.406,4996,en,Animation; Comedy,2026-07-05,Animation
1434,tv,Family Guy,1999-01-31,205.4813,7.406,4996,en,Animation; Comedy,2026-07-05,Comedy
125988,tv,Silo,2023-05-04,202.6294,8.2,2168,en,Sci-Fi & Fantasy; Drama,2026-07-05,Sci-Fi & Fantasy
125988,tv,Silo,2023-05-04,202.6294,8.2,2168,en,Sci-Fi & Fantasy; Drama,2026-07-05,Drama
1315772,movie,Minions & Monsters,2026-06-24,201.3444,6.4,106,en,Adventure; Animation; Comedy; Family; Fantasy,2026-07-05,Adventure
1315772,movie,Minions & Monsters,2026-06-24,201.3444,6.4,106,en,Adventure; Animation; Comedy; Family; Fantasy,2026-07-05,Animation
1315772,movie,Minions & Monsters,2026-06-24,201.3444,6.4,106,en,Adventure; Animation; Comedy; Family; Fantasy,2026-07-05,Comedy
1315772,movie,Minions & Monsters,2026-06-24,201.3444,6.4,106,en,Adventure; Animation; Comedy; Family; Fantasy,2026-07-05,Family
1315772,movie,Minions & Monsters,2026-06-24,201.3444,6.4,106,en,Adventure; Animation; Comedy; Family; Fantasy,2026-07-05,Fantasy
